Enzyme 	KO 	D 	C 	B 	A 	
H24K24.3 hypothetical protein	K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] 	1.1.1.1  alcohol dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
D2063.1 hypothetical protein	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	1.1.1.1  alcohol dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
K12G11.4 sodh-2; SOrbitol DeHydrogenase family member (sodh-2)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	1.1.1.1  alcohol dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
K12G11.3 sodh-1; SOrbitol DeHydrogenase family member (sodh-1)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	1.1.1.1  alcohol dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F47G4.3 gpdh-1; Glycerol-3-Phosphate DeHydrogenase family member (gpdh-1)	K00006 glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] 	1.1.1.8  glycerol-3-phosphate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
K11H3.1 gpdh-2; Glycerol-3-Phosphate DeHydrogenase family member (gpdh-2)	K00006 glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] 	1.1.1.8  glycerol-3-phosphate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
R11D1.11 dhs-21; DeHydrogenases, Short chain family member (dhs-21)	K03331 L-xylulose reductase [EC:1.1.1.10] 	1.1.1.10  L-xylulose reductase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
R04B5.5 hypothetical protein	K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14] 	1.1.1.14  L-iditol 2-dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
R04B5.6 hypothetical protein	K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14] 	1.1.1.14  L-iditol 2-dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y39G8B.1 hypothetical protein	K00011 aldehyde reductase [EC:1.1.1.21] 	1.1.1.21  aldehyde reductase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F29F11.1 sqv-4; SQuashed Vulva family member (sqv-4)	K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] 	1.1.1.22  UDP-glucose 6-dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F13D12.2 ldh-1; Lactate DeHydrogenase family member (ldh-1)	K00016 L-lactate dehydrogenase [EC:1.1.1.27] 	1.1.1.27  L-lactate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
B0250.5 hypothetical protein	K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 	1.1.1.31  3-hydroxyisobutyrate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F08F8.2 hypothetical protein	K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34] 	1.1.1.34  hydroxymethylglutaryl-CoA reductase (NADPH) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
B0272.3 hypothetical protein	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F01G10.2 ech-8; Enoyl-CoA Hydratase family member (ech-8)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F01G10.3 ech-9; Enoyl-CoA Hydratase family member (ech-9)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
R09B5.6 hacd-1; Hydroxy-Acyl-CoA Dehydrogenase family member (hacd-1)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F54C8.1 hypothetical protein	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F01G4.2 ard-1; Alcohol/Ribitol Dehydrogenase family member (ard-1)	K08683 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178] 	1.1.1.35  3-hydroxyacyl-CoA dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F46E10.10 hypothetical protein	K00025 malate dehydrogenase [EC:1.1.1.37] 	1.1.1.37  malate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F20H11.3 mdh-1; Malate DeHydrogenase family member (mdh-1)	K00026 malate dehydrogenase [EC:1.1.1.37] 	1.1.1.37  malate dehydrogenase 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
Y48B6A.12 hypothetical protein	K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] 	1.1.1.40  malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
C37E2.1 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	1.1.1.41  isocitrate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
F35G12.2 hypothetical protein	K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 	1.1.1.41  isocitrate dehydrogenase (NAD+) 	1.1.1  With NAD+ or NADP+ as acceptor 	1.1  Acting on the CH-OH group of donors 	<b>1. Oxidoreductases</b> 	
