GENES 	KO 	C 	B 	A 	
F14B4.2 hypothetical protein	K00844 hexokinase [EC:2.7.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y87G2A.8 gpi-1; Glucose-6-Phosphate Isomerase family member (gpi-1)	K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
C50F4.2 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y71H10A.1 hypothetical protein	K00850 6-phosphofructokinase [EC:2.7.1.11] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K07A3.1 fbp-1; Fructose-1,6-BiPhosphatase family member (fbp-1)	K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T05D4.1 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F01F1.12 hypothetical protein	K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
Y17G7B.7 tpi-1; Triose Phosphate Isomerase family member (tpi-1)	K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T09F3.3 gpd-1; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-1)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
F33H1.2 gpd-4; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-4)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K10B3.7 gpd-3; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-3)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
K10B3.8 gpd-2; GPD (glyceraldehyde 3-phosphate dehydrogenase) family member (gpd-2)	K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
T03F1.3 pgk-1; PhosphoGlycerate Kinase family member (pgk-1)	K00927 phosphoglycerate kinase [EC:2.7.2.3] 	00010 Glycolysis / Gluconeogenesis [PATH:cel00010] 	<b>Carbohydrate Metabolism</b> 	<b>Metabolism</b> 	
